LotArea,YearBuilt,GarageArea,SalePrice
17600,1960,498,157500
2448,2003,474,154000
20431,2005,706,437154
7820,2007,617,318061
5271,1986,445,190000
9084,1941,200,95000
8520,1928,484,105900
8400,1940,240,140000
11249,1995,521,177500
9248,1992,400,173000
4224,1976,528,134000
6930,1958,288,130000
12011,1998,592,280000
7540,1978,470,156000
9144,1940,240,145000
7301,2003,672,198500
1680,1972,264,118000
18800,1976,566,190000
10690,1920,468,147000
9500,1963,514,159000
9150,1962,296,165000
7800,1954,244,132000
9830,1959,576,162000
8121,2000,460,172400
17120,1959,680,134432
7175,1984,264,125000
10634,1953,270,123000
8200,2003,434,219500
10020,1922,0,61000
8846,1996,576,148000
11143,2004,610,340000
11394,2010,834,394432
8123,2000,463,179000
5000,1924,308,127000
7200,2006,572,187750
9245,2006,639,213500
9000,1928,360,76000
53107,1992,501,240000
3182,2004,430,192000
8410,1910,0,81000
7200,1976,352,125000
9382,1999,577,191000
12474,2007,846,426000
8405,1900,384,119000
12209,2001,560,215000
8339,1959,294,106500
7446,1941,0,100000
10134,1940,240,109000
9571,1956,596,129000
7200,1972,600,123000
7590,1962,264,169500
8967,1920,338,67000
8125,2006,438,241000
14963,1996,500,245500
8767,2005,400,164990
10200,1940,240,108000
12090,1998,420,258000
10364,1995,373,168000
9991,1976,490,150000
10480,1936,240,115000
15576,1915,308,177000
14154,2006,947,280000
10800,2007,836,339750
9571,1958,350,60000
34650,1955,572,145000
4403,2009,484,222000
8960,1927,360,115000
11228,1993,678,228000
8899,2007,396,181134
7844,1978,440,149500
22420,1918,864,239000
8160,1940,240,126000
8450,1968,304,142000
7060,1997,784,206300
16635,1977,529,215000
21750,1954,520,113000
9200,1998,696,315000
9000,1956,297,139000
3378,1946,240,135000
12800,1989,569,275000
8593,1957,352,109008
6762,2007,628,195400
11457,1988,576,175000
1680,1971,264,85400
5586,1920,0,79900
1920,1971,440,122500
10839,1997,470,181000
1890,1972,0,81000
10667,1996,550,212000
4400,1920,440,116000
6000,1926,180,119000
4280,1913,352,90350
12354,1920,528,110000
15431,2008,672,555000
12108,1955,0,118000
6240,1930,360,162900
3922,2006,648,172500
8750,1994,493,210000
9855,1956,480,127500
16492,1966,578,190000
11214,1998,431,199900
8600,1937,198,119500
6000,1948,308,120000
5684,1930,270,110000
70761,1975,576,280000
9303,1996,422,204000
9000,2008,676,210000
9297,1976,560,188000
9600,1973,528,175500
4571,1916,513,98000
53227,1954,529,256000
5100,1925,228,161000
7015,1950,352,110000
8004,2009,552,263435
7200,1936,576,155000
8281,1965,360,62383
11988,1934,240,188700
8430,1978,0,124000
3072,2004,398,178740
10628,1970,526,167000
9480,1942,312,146500
11428,2006,866,250000
9291,1993,506,187000
6820,1985,528,212000
11952,1977,534,190000
3675,2005,525,148000
14977,2006,908,440000
5330,2000,499,251000
8480,1963,624,132500
13125,1997,508,208900
13693,2006,694,380000
10637,2007,826,297000
5925,1937,672,89471
16033,2004,772,326000
11846,2003,874,374000
2500,1915,164,155000
4500,1998,402,164000
7758,1962,264,132500
9600,1950,264,147000
10289,1965,515,156000
12243,1971,487,175000
10800,1900,520,160000
1526,1970,286,86000
2665,1976,336,115000
9490,1941,240,133000
15578,2006,429,172785
7931,1960,308,155000
5784,1938,273,91300
7879,1920,0,34900
12692,1992,546,430000
9120,1925,240,184000
7800,1967,288,130000
7535,1958,297,120000
1890,1973,264,113000
9803,2005,603,226700
9170,1965,461,140000
15602,1959,484,289000
2308,1974,440,147000
7596,1952,400,124500
9554,1993,471,215000
7862,2009,676,208300
9600,1928,360,161000
9600,1959,270,124500
14559,1951,288,164900
6792,2005,474,202665
9100,1958,624,129900
9187,1983,484,134000
10594,1926,200,96500
12220,2009,900,402861
10448,1972,583,158000
10208,1996,889,265000
9531,1998,546,211000
10918,1926,282,234000
10800,1900,0,106250
11988,1957,336,150000
5000,1947,420,159000
40094,2007,884,184750
11787,1996,834,315750
7500,2005,453,176000
13300,1956,252,132000
14948,2008,858,446261
9098,1920,0,86000
32668,1957,484,200624
10200,1988,600,175000
6155,1920,502,128000
7200,1955,392,107500
5000,1946,0,39300
9056,2004,403,178000
7000,1910,0,107500
8924,1998,527,188000
12735,1972,576,111250
11553,1968,336,158000
11423,2001,670,272000
14601,2006,765,315000
11000,2000,648,248000
10140,1998,583,213250
4058,1998,367,133000
17104,2006,426,179665
13837,1988,786,229000
8737,1923,440,210000
7244,1970,624,129500
8235,1955,720,125000
9375,2003,615,263000
4043,1977,440,140000
6000,1957,288,112500
11146,2006,908,255500
8777,1949,520,108000
10625,2003,871,284000
6380,1922,280,113000
14850,1957,299,141000
11040,1920,570,108000
21872,1996,406,175000
3196,2003,420,234000
11341,1957,528,121500
10010,1974,418,170000
13907,1940,0,108000
21780,1918,396,185000
13346,1992,590,268000
6858,1915,216,128000
11198,2005,656,325000
10171,2004,532,214000
12327,1983,612,316600
7032,1979,600,135960
13101,1965,576,142600
7332,1959,288,120000
13159,2009,650,224500
9967,2000,400,170000
10500,1971,288,139000
8480,1947,336,118500
6292,1928,216,145000
11777,1966,564,164500
3604,2007,540,146000
12150,1954,352,131500
14585,1960,572,181900
12704,2008,1390,253293
11841,1990,0,118500
13500,1893,880,325000
6120,1935,240,133000
11443,2005,880,369900
10267,1918,275,130000
8740,1982,528,137000
25095,1968,452,143000
9100,1930,308,79500
8320,2004,520,185900
13478,2008,842,451950
6600,1982,816,138000
4435,2003,420,140000
7990,1975,280,110000
11302,2005,758,319000
3600,1910,216,114504
3922,2006,648,194201
12984,1977,621,217500
1950,1980,452,151000
10927,2005,736,275000
9000,1937,544,141000
10041,1992,506,220000
3182,2004,480,151000
12803,2002,530,221000
13600,1965,486,205000
12464,1996,576,152000
7800,1948,230,225000
12168,1934,380,359100
7943,1961,261,118500
11050,2000,736,313000
10395,1978,564,148000
11885,2001,531,261500
8402,2007,0,147000
1491,1972,0,75500
8800,1963,480,137500
7861,2002,393,183200
7227,1954,528,105500
11694,2007,774,314813
12244,2003,749,305000
8248,1914,0,67000
10800,1974,624,240000
7064,1977,484,135000
2117,2000,440,168500
10400,1972,484,165150
10000,1962,440,160000
12342,1960,286,139900
9600,1955,364,153000
11606,1969,504,135000
9020,1964,520,168500
9000,1880,240,124000
4590,2006,627,209500
11900,1977,544,82500
9250,1954,260,139400
6979,1980,576,144000
10896,1914,0,200000
6120,1936,0,60000
6000,1954,256,93000
8777,1910,0,85000
3982,2006,648,264561
12677,2003,588,274000
7050,2001,650,226000
13860,1972,538,345000
10793,1969,462,152000
9187,2009,478,370878
10530,1971,576,143250
7200,1950,420,98300
10452,1953,495,155000
7700,1966,442,155000
1936,1970,0,84500
8125,2007,562,205950
9084,1940,296,108000
8750,1996,512,191000
10320,1906,216,135000
10437,1995,839,350000
1680,1971,264,88000
10007,1959,312,145500
7200,1931,270,149000
17503,1948,330,97500
9937,1964,480,167000
12384,1976,550,197900
46589,1994,711,402000
13560,1968,576,110000
10012,1972,588,137500
20896,2005,1134,423000
11194,2000,504,230500
18450,1965,596,129000
8125,1994,575,193500
14175,1956,576,168000
11600,1922,252,137500
8633,2005,540,173500
6629,1925,300,103600
11250,1977,546,165000
14442,1957,416,257500
9200,1965,384,140000
2289,1978,440,148500
9600,1900,779,87000
9022,1924,240,109500
11844,2008,834,372500
9945,1961,572,128500
8012,1980,264,143000
4500,1932,281,159434
2887,1996,431,173000
11248,2002,702,285000
16770,1998,486,221000
5062,1984,577,207500
10207,2007,578,227875
5105,2004,480,148800
8089,2007,567,392000
7577,2005,460,194700
4426,2004,420,141000
21535,1994,832,755000
26178,1989,628,335000
5400,1921,326,108480
6120,1936,576,141500
13811,1987,551,176000
6000,1921,205,89000
6420,1952,308,123500
8450,1965,336,138500
4282,2004,530,196000
14331,2002,765,312500
9600,1969,528,140000
12438,2006,666,361919
7630,1900,672,140000
8400,2004,606,213000
5600,1930,0,55000
115149,1971,739,302000
6240,2006,550,254000
9018,2007,400,179540
7162,1966,408,109900
4130,1935,0,52000
8712,1900,384,102776
4671,1988,472,189000
9873,1970,576,129000
13517,1976,475,130500
10140,1974,478,165000
10800,1890,704,159500
10000,1973,439,157000
10542,1993,983,341000
9920,1969,300,128500
6563,1985,564,275000
4426,2004,420,143000
8120,1970,463,124500
8172,1954,548,135000
13286,2007,768,320000
6960,1970,660,120500
21695,1988,540,222000
7314,2007,632,194500
11475,1958,888,110000
6240,1925,539,103000
5389,1995,608,236500
9590,2003,438,187500
11404,1998,541,222500
10000,1961,264,131400
8978,1968,300,108000
10800,1914,320,163000
8544,1950,400,93500
10463,2005,800,239900
10800,1987,0,179000
9313,2004,572,190000
9600,1910,360,132000
6768,1961,288,142000
8450,2000,539,179000
12886,1963,480,175000
5395,1993,462,180000
8963,1976,831,299800
8795,2000,554,236000
11700,1880,864,265979
10593,1996,527,260400
8405,1945,240,98000
8800,1910,0,96500
7750,2003,400,162000
9236,1997,576,217000
10240,2005,878,275500
7930,1969,440,156000
3230,1999,440,172500
10769,2007,578,212000
11616,1978,440,158900
2280,1999,440,179400
12257,1995,752,290000
9100,1959,300,127500
6911,1924,440,100000
8640,2009,614,215200
9430,1999,856,337000
9549,1995,481,270000
14587,2008,592,264132
10421,1988,496,196500
12508,1940,423,160000
9100,2004,484,216837
53504,2003,841,538000
7252,1982,576,134900
8877,1951,396,102000
7819,1976,672,107000
10150,1958,275,114500
14226,2006,895,395000
4500,1998,412,162000
11210,2005,865,221500
13350,1974,440,142500
8400,1977,630,144000
10530,1977,504,135000
7875,1995,402,176000
7153,1992,484,175900
16285,2001,605,187100
9101,1978,602,165500
6300,1914,0,128000
9790,1967,457,161500
10800,1915,416,139000
10142,2004,618,233000
6000,1954,281,107900
12205,1966,444,187500
3182,2005,397,160200
11333,1976,539,146800
9920,1996,455,269790
9158,2007,474,225000
10832,1994,409,194500
8400,1980,476,171000
8197,1977,528,143500
7677,1953,240,110000
13518,2008,820,485000
7200,1937,240,175000
12798,1997,603,200000
4800,1916,440,109900
8199,2005,410,189000
13891,2008,1020,582933
9000,1954,286,118000
12274,2008,554,227680
9750,1967,384,135500
21384,1923,528,223500
13400,1966,484,159950
8100,1898,360,106000
10140,1974,484,181000
4438,2004,420,144500
8712,1952,504,55993
9750,1958,301,157900
8248,1918,280,116000
12137,1998,598,224900
11425,1954,275,137000
13265,2002,857,271000
8816,1971,440,155000
6371,2009,484,224000
7226,2003,595,183000
6000,1953,576,93000
12394,2003,433,225000
9900,1940,240,139500
11216,2006,776,232600
14803,2007,1220,385000
6130,1924,0,109500
8529,2001,527,189000
28698,1967,538,185000
2544,2005,480,147400
11900,1957,458,166000
3180,2005,480,151000
9548,2003,613,237000
10004,1964,472,167000
7875,1961,456,139950
9600,1950,436,128000
8100,1948,812,153500
1680,1973,264,100000
9525,1995,352,144000
11767,1946,240,130500
12155,1925,400,140000
10440,1904,686,157500
9020,1966,490,174900
8000,1961,0,141000
12665,1915,720,153900
16647,1975,611,171000
9317,1993,425,213000
15523,1972,338,133500
45600,1908,360,240000
9600,1976,512,187000
4435,2003,420,131500
3196,2003,400,215000
7128,1941,240,164000
12095,1964,645,158000
17920,1955,454,170000
6897,1962,260,127000
10970,1978,576,147000
8125,1994,343,174000
10400,1976,479,152000
11029,1968,619,250000
7642,1918,216,189950
11625,1965,504,131500
9672,1984,480,152000
7931,1959,672,132500
8640,2007,529,250580
8750,1970,902,148500
10656,2006,870,248900
6970,1961,544,129000
14762,1948,672,169000
9938,1993,574,236000
6600,1962,308,109500
8750,1998,523,200500
8892,1953,414,116000
12144,1949,288,133000
5720,1941,200,66500
9000,2007,550,303477
25286,1963,648,132250
8834,2004,738,350000
11782,1961,576,148000
7000,1978,336,136500
7024,2005,450,157000
13758,1990,400,187500
9636,1992,389,178000
6204,1912,440,118500
7150,1967,288,100000
5119,1999,506,328900
8393,1959,588,145000
16466,1955,300,135500
15865,1970,621,268000
12160,1953,505,149500
8064,1949,576,122900
11184,1978,440,172500
8414,1963,264,154500
13284,1954,354,165000
7018,1979,400,118858
7056,1963,483,140000
8765,1936,327,106500
7018,1979,528,142953
12919,2009,820,611657
6993,1961,288,135000
7340,1971,684,110000
8712,1957,756,153000
7875,2003,393,180000
14859,2006,690,240000
6173,1967,288,125500
9920,1954,280,128000
13501,2006,865,255000
11500,1936,180,250000
8885,1983,484,131000
12589,2005,390,174000
11600,1960,480,154300
9286,1977,252,143500
6120,1925,450,88000
6270,1949,871,145000
3000,2009,528,173733
2001,1970,286,75000
9000,1949,308,35311
17140,1956,284,135000
13125,1991,833,238000
11029,1958,601,176500
8462,1994,471,201000
8777,1900,0,145900
10237,2005,397,169990
8012,1993,533,193000
10240,1980,612,207500
15611,1977,540,175000
11999,2003,656,285000
9900,1968,486,176000
11838,2001,522,236500
13006,1997,642,222000
8925,2007,610,201000
9100,1965,429,117500
11670,2006,788,320000
8487,2004,570,190000
27650,1960,505,242000
5825,1926,528,79900
10083,2003,555,184900
9675,2005,689,253000
8760,2006,868,239799
24090,1940,349,244400
12640,1976,574,150900
8755,1999,390,214000
7711,1977,0,150000
25000,1967,576,143000
14375,1958,525,137500
8820,1890,456,124900
8163,1959,796,143000
14536,2002,808,270000
14006,2002,474,192500
9360,1972,676,197500
7200,1950,720,129000
7800,1965,300,119900
7200,1972,396,133900
11075,1969,530,172000
9400,1975,0,127500
7136,1946,492,145000
1300,1980,462,124000
7420,1962,576,132000
8450,2003,531,185000
2572,1999,484,155000
7207,1958,0,116500
12227,1977,619,272000
2308,1976,440,155000
11923,2007,702,239000
11316,2002,510,214900
10237,2005,393,178900
9600,1940,256,160000
7390,1955,260,135000
5925,1910,0,37900
10382,1958,264,140000
10800,1949,0,135000
2268,2003,474,173000
7892,1979,264,99500
11639,2007,480,182000
11414,1910,532,167500
2651,2000,490,165000
5900,1923,0,85500
4274,2006,569,199900
9450,1954,400,110000
8816,1963,480,139000
12122,1961,588,178400
12203,1998,676,336000
3182,2007,388,159895
11250,2002,779,255900
10125,1977,539,126000
10880,1950,240,125000
5310,1910,255,117000
10159,2009,606,395192
12046,1976,551,195000
8125,2006,614,197000
9452,1997,870,348000
17671,1882,424,168000
9760,1964,440,187000
8846,2005,564,173900
12456,2006,786,337500
4712,1946,305,121600
10659,1961,368,136500
11717,1970,615,185000
9786,1922,210,91000
6762,2006,632,206000
10206,1952,528,82000
5400,1920,216,86000
11957,2006,824,232000
11500,1976,528,136905
3182,2005,457,181000
8385,1977,328,149900
12155,1970,484,163500
2217,1970,286,88000
12118,2004,550,240000
6000,1926,0,102000
21286,1948,312,135000
9825,1965,0,100000
10592,1923,180,165000
7200,1910,280,85000
11664,1948,240,119200
8400,2001,528,227000
11883,1996,478,203000
5814,1984,565,187500
10784,1991,402,160000
3013,2005,440,213490
7024,2005,451,176000
7406,2006,632,194000
9439,1930,160,87000
3182,2005,437,191000
15498,1976,665,287000
7700,1972,461,112500
9300,1960,461,167500
9520,2007,800,293077
9492,1941,240,105000
1680,1972,264,118000
7082,1916,0,160000
15863,1920,672,197000
14541,1993,796,310000
8125,2002,900,230000
6305,1938,240,119750
11500,1957,290,84000
12898,2007,912,315500
9240,2001,905,287000
1533,1970,0,97000
1477,1970,286,80000
13125,1957,484,155000
9130,1966,484,173000
5381,2005,624,196000
11839,1990,514,262280
9600,1981,542,278000
13680,1955,452,139600
16056,2005,716,556581
9245,1994,672,145000
21750,1960,336,115000
11100,1946,308,84900
8993,2007,436,176485
11175,2007,440,200141
9500,1964,540,165000
8562,1957,364,144500
11367,2002,586,255000
11361,1976,478,180000
7052,2005,484,185850
29959,1994,467,248000
11308,2008,836,335000
11275,1932,432,220000
4920,2001,582,213500
18000,1935,1248,81000
13600,1900,560,90000
6000,1925,440,110500
11000,1966,480,154000
14000,1996,533,328000
7837,1993,380,178000
9760,1964,442,167900
3964,1973,576,151400
9600,1949,576,135000
10152,1956,286,135000
11700,1968,441,154000
7585,1948,280,91500
7950,1977,440,159500
8556,2006,826,194000
13125,1940,240,219500
10800,1936,566,170000
15870,1969,299,138800
4435,2004,420,155900
8775,1994,299,126000
11040,1971,528,145000
7500,1963,308,133000
8749,2002,527,192000
8800,1964,461,160000
13031,1995,409,187500
9069,1992,564,147000
1974,1973,286,83500
10574,2005,1043,252000
2522,2004,380,137500
3316,2005,550,197000
8544,1950,400,92900
2160,1999,462,160000
8400,1925,576,136500
9230,1965,884,146000
5868,1956,308,129000
9317,2006,440,176432
6882,1914,0,127000
3696,1986,461,170000
6000,1936,240,128000
11880,1978,478,157000
8400,1920,246,60000
9758,1971,280,119500
7000,1960,254,135000
8910,1959,539,159500
2016,1970,440,106000
12256,1994,712,325000
10357,1990,719,179900
23257,2006,422,274725
8063,2000,463,181000
11362,2004,862,280000
8000,1995,431,188000
10480,1976,483,205000
7100,1957,308,129900
8923,1953,240,134500
5400,1954,326,117000
12085,2007,928,318000
7750,2002,527,184100
9764,1967,450,130000
13825,1958,300,140000
7560,1959,286,133700
8263,1920,308,118400
10084,2005,782,212900
8926,1956,288,112000
9405,1947,0,118000
9125,1992,392,163900
10434,1955,672,115000
3684,2007,660,174000
14572,2004,630,259000
11796,2004,434,215000
7200,1980,672,140000
7804,1928,576,135000
10712,1991,0,93500
9900,1880,205,117500
9828,1995,466,239500
8773,1997,460,169000
6180,1926,180,102000
9600,1950,288,119000
6342,1875,0,94000
9819,1977,714,196000
8731,1920,495,144000
7350,1951,840,139000
10304,1976,484,197500
9965,2006,1052,424870
9000,1959,0,80000
12180,1941,280,80000
6240,1928,225,149000
11200,1985,403,180000
12000,1941,234,174500
5700,1926,288,116900
9000,1920,324,143000
8280,1950,306,124000
17755,1959,528,149900
14115,1956,470,230000
5890,1930,432,120500
13700,1965,492,201800
10768,1976,528,218000
9350,1965,502,179900
5001,2007,626,230000
11932,2007,830,235128
9120,1974,540,185000
2280,1978,440,146000
14778,1954,924,224000
8724,1968,450,129000
12900,1969,400,108959
16157,1978,588,194000
9541,2009,644,233170
10475,2008,776,245350
10852,2000,472,173000
13728,1935,540,235000
35760,1995,807,625000
9880,1977,358,171000
9120,1958,433,163000
4017,2006,625,171900
18030,1946,0,200500
16560,1932,360,239000
10678,1992,541,285000
6951,1984,264,119500
3950,1926,210,115000
7681,1921,186,154900
8335,1954,0,93000
11170,1990,693,250000
5587,2008,482,392500
15623,1996,813,745000
10800,1920,720,120000
35133,1963,995,186700
9738,1924,392,104900
10615,1900,420,95000
12461,1994,757,262000
8935,2002,493,195000
7500,1999,442,189000
32463,1961,1356,168000
2645,1999,492,174000
9600,1925,250,125000
4500,1999,402,165000
9364,1969,299,158000
8029,2005,400,176000
14054,2006,660,219210
8850,1916,225,144000
9100,2001,573,178000
11235,1963,459,148000
9353,1970,280,116050
10400,1998,546,197900
6000,1925,216,117000
9750,2000,451,213000
10140,1975,495,153500
14684,1990,701,271900
8900,1966,384,107000
9135,2003,544,200000
7763,1962,506,140000
10182,2006,500,290000
11218,1992,462,189000
12134,1988,492,164000
9340,1941,234,113000
10246,1965,364,145000
10205,1962,300,134500
7094,1966,384,125000
8930,1978,539,112000
8640,2009,552,229456
6240,1947,0,80500
1680,1971,0,91500
7800,1964,288,115000
8250,1968,322,134000
10496,1949,315,143000
10680,1951,528,137900
15384,2004,388,184000
10482,1958,264,145000
14598,2007,668,214000
8872,1965,576,147000
8769,2008,1052,367294
7910,1960,404,127000
18890,1977,600,190000
7728,1962,540,132500
9842,1962,462,101800
12160,1959,531,142000
8525,1911,0,130000
13132,1914,180,138887
2628,2003,474,175500
12393,2004,434,195000
13072,2005,484,142500
9037,2006,472,265900
8158,2003,543,224900
9849,2007,954,248328
10625,1974,528,170000
13891,2006,850,465000
11435,1929,400,230000
12090,1984,477,178000
8125,2005,615,186500
12328,1976,888,169900
9600,1917,396,129500
7200,1950,276,119000
11160,1968,522,244000
3136,2003,478,171750
9858,1968,288,130000
17542,1974,518,294000
6931,2003,397,165400
6240,1931,560,127500
14303,1994,691,301500
4060,1922,0,99900
9587,2005,400,190000
9750,1969,460,151000
24682,1999,502,181000
9600,1956,338,128900
11250,1957,304,161500
13515,1919,520,180500
4060,1998,511,181000
3735,1999,506,183900
10120,1910,308,122000
